不在辖区范围的企业清单,,,,,,,,,,,,,,,,,,,,,,,
序号,普查小区代码,统一社会信用代码,组织机构代码,排污许可证编号,单位名称,曾用名,运行状态,省（自治区、直辖市）,地区（市、州、盟）,县（区、市、旗）,乡(镇),123456,,,联系人,固定电话,移动电话,行业类别,是否涉及稀土等15类矿产资源开采、选矿、冶炼（分离）、加工,其他厂址个数,其他厂址地址,备注,是否纳入普查范围
1,,91110105344250089Y,344250089,,xxx（北京）能源设备有限公司,,,北京市,北京市,朝阳区,将台镇,北京市朝阳区将台路5号  北京市朝阳区将台路5号12号楼二门一层2102号          北京市朝阳区将台路5号12号楼二门一层2102号,,酒仙桥街道,,,,C3429,否,0,,,否
2,,9111010556950529X8,56950529X,,北京xxx科技股份有限公司,,,北京市,市辖区,朝阳区,将台地区办事处,将台路5号院15号        北京市朝阳区将台路5号院内15号楼D座5层,,酒仙桥街道,,,,4022,否,0,,,否
